dptmt.0.001*codeinseecommune superficie(hectare) x y nombred'inscrits nombredevotants nombredebulletinexprimés nomsansblancavecunders
1.001 1595 7996 21312 588 379 354 L'ABERGEMENT-CLEMENCIAT
1.002 915 8391 21165 232 219 217 L'ABERGEMENT-DE-VAREY
1.004 2460 8342 21109 8188 4490 4272 AMBERIEU-EN-BUGEY
1.005 1592 7988 21141 1067 686 661 AMBERIEUX-EN-DOMBES
1.006 588 8540 20885 116 88 86 AMBLEON
1.007 3355 8342 21162 1629 1188 1121 AMBRONAY
1.008 522 8327 21088 509 346 334 AMBUTRIX
1.009 694 8580 20937 263 211 207 ANDERT-ET-CONDON
1.011 1457 8561 21395 252 193 185 APREMONT
1.012 2165 8457 21165 269 202 196 ARANC
1.013 1410 8444 21043 154 133 129 ARANDAS
1.014 2349 8576 21494 2052 1323 1251 ARBENT
1.015 1307 8579 20863 390 294 277 ARBIGNIEU
1.016 1747 8016 21667 284 208 205 ARBIGNY
1.017 784 8446 21087 308 238 233 ARGIS
1.019 682 8523 20995 41 40 40 ARMIX
1.021 550 7926 21132 808 627 588 ARS-SUR-FORMANS
1.022 375 8605 21027 819 588 570 ARTEMARE
1.023 468 7958 21569 64 42 40 ASNIERES-SUR-SAONE
1.024 1869 8175 21469 1780 1208 1171 ATTIGNAT
1.025 3968 8009 21495 1903 1117 1062 BAGE-LA-VILLE
1.026 88 7997 21486 546 372 363 BAGE-LE-CHATEL
1.027 1804 8145 20964 1074 643 608 BALAN
1.028 891 7983 21266 412 284 277 BANEINS
1.029 1407 8252 21610 399 261 256 BEAUPONT
1.03 94 7870 21142 520 272 243 BEAUREGARD
1.031 783 8541 21436 1978 1166 1118 BELLIGNAT
1.032 1330 8167 21003 1899 938 902 BELIGNEUX
1.033 1525 8697 21290 6282 3970 3842 BELLEGARDE-SUR-VALSERINE
1.034 2242 8607 20899 5227 3472 3301 BELLEY
1.035 1763 8652 21449 257 197 197 BELLEYDOUX
1.036 1977 8581 21032 411 311 299 BELMONT-LUTHEZIEU
1.037 1533 8438 20968 200 161 158 BENONCES
1.038 1825 8269 21509 564 402 391 BENY
1.039 1030 8654 21007 298 224 218 BEON
1.04 1083 8084 21555 282 209 205 BEREZIAT
1.041 337 8346 21093 548 377 356 BETTANT
1.042 277 7936 21386 193 150 147 BEY
1.043 1064 8070 20968 3096 1958 1889 BEYNOST
1.044 1370 8667 21255 356 308 305 BILLIAT
1.045 1583 8096 21095 149 117 112 BIRIEUX
1.046 1139 8012 21386 536 375 351 BIZIAT
1.047 932 8262 20983 604 442 425 BLYES
1.049 940 8096 20971 1999 1313 1270 LA_BOISSE
1.05 905 8045 21570 177 151 147 BOISSEY
1.051 492 8422 21373 95 85 83 BOLOZON
1.052 2609 8056 21171 236 193 192 BOULIGNEUX
1.053 2386 8231 21380 23069 13467 13180 BOURG-EN-BRESSE
1.054 898 8192 21029 774 547 522 BOURG-SAINT-CHRISTOPHE
1.056 1694 8415 21192 293 233 227 BOYEUX-SAINT-JEROME
1.057 731 7978 21595 309 225 214 BOZ
1.058 1105 8559 20774 555 460 449 BREGNIER-CORDON
1.059 979 8625 21110 88 70 70 BRENAZ
1.06 2379 8529 21231 373 312 305 BRENOD
1.061 690 8614 20854 724 450 435 BRENS
1.062 773 8142 21001 505 362 349 BRESSOLLES
1.063 448 8483 21354 388 290 280 BRION
1.064 1229 8428 20917 588 381 376 BRIORD
1.065 1021 8158 21382 1185 774 746 BUELLAS
1.066 1082 8504 20992 88 67 67 LA_BURBANCHE
1.067 1001 8444 21294 204 143 140 CEIGNES
1.068 1230 8420 21249 514 379 371 CERDON
1.069 1592 8262 21300 1092 729 706 CERTINES
1.071 639 8874 21534 1958 1359 1324 CESSY
1.072 936 8306 21353 1898 1247 1204 CEYZERIAT
1.073 1972 8633 20984 806 601 585 CEYZERIEU
1.074 3288 8195 21146 1394 952 917 CHALAMONT
1.075 1700 7910 21175 802 583 559 CHALEINS
1.076 460 8476 21112 129 98 93 CHALEY
1.077 765 8417 21298 145 116 114 CHALLES
1.079 1816 8592 21060 526 402 378 CHAMPAGNE-EN-VALROMEY
1.08 1737 8524 21182 345 285 281 CHAMPDOR
1.081 3240 8685 21386 492 386 370 CHAMPFROMIER
1.082 1810 8670 21176 370 269 261 CHANAY
1.083 1263 7945 21249 574 430 424 CHANEINS
